clause_id,section,clause_text,source,document,clause_type,risk_score,risk_level,has_penalty,has_deadline,has_law_reference,explanation,word_count
data_protection_policy.txt_0000,7.1 Designation,"REGULATORY DOCUMENT: DATA PROTECTION AND PRIVACY POLICY Version 3.1 | Effective Date: 2024-01-01 This regulation establishes the obligations, prohibitions, and conditions governing the collection, processing, storage, and transfer of personal data within regulated organisations.",data_protection_policy.txt,data_protection_policy.txt,condition,15,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 15/100).,34
data_protection_policy.txt_0001,7.1 Designation,All entities subject to this regulation must comply fully with its provisions from the effective date onwards.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,17
data_protection_policy.txt_0002,7.1 Designation,"""Personal data"" means any information relating to an identified or identifiable natural person.",data_protection_policy.txt,data_protection_policy.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",13
data_protection_policy.txt_0003,7.1 Designation,"""Data controller"" refers to the entity that determines the purposes and means of processing personal data.",data_protection_policy.txt,data_protection_policy.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",16
data_protection_policy.txt_0004,7.1 Designation,"""Processing"" means any operation performed upon personal data.",data_protection_policy.txt,data_protection_policy.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",8
data_protection_policy.txt_0005,7.1 Designation,"Organisations must ensure that all personal data is processed lawfully, fairly, and in a transparent manner.",data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,16
data_protection_policy.txt_0006,7.1 Designation,Data controllers shall obtain explicit consent from data subjects before processing their personal data for any purpose not specified at the time of collection.,data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,24
data_protection_policy.txt_0007,7.1 Designation,Entities are required to collect only the minimum amount of personal data necessary for the specified purpose.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,17
data_protection_policy.txt_0008,7.1 Designation,Data controllers must not retain personal data beyond the period necessary for the purpose for which it was collected.,data_protection_policy.txt,data_protection_policy.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,19
data_protection_policy.txt_0009,7.1 Designation,All organisations must implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,19
data_protection_policy.txt_0010,7.1 Designation,"Security measures shall include encryption of data in transit and at rest, access controls, and regular security audits.",data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,18
data_protection_policy.txt_0011,7.1 Designation,"In the event of a personal data breach, the data controller must notify the supervisory authority within 72 hours of becoming aware of the breach, where feasible.",data_protection_policy.txt,data_protection_policy.txt,prohibition,75,HIGH,False,True,False,"This clause carries HIGH riskbecause it contains an explicit prohibition that, if violated, may trigger enforcement action (score: 75/100).",27
data_protection_policy.txt_0012,7.1 Designation,"Where notification is not made within 72 hours, it shall be accompanied by reasons for the delay.",data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,17
